id,listing_id,url,source,title,brand,model,generation,year,price,currency,city,region,mileage_km,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,customs_cleared,description,generated_description,seller_type,published_at,scraped_at,photo_count,is_active,raw_characteristics,created_at,updated_at
1,213097689,https://kolesa.kz/a/show/213097689,kolesa.kz,Toyota Highlander Luxe 2017 г.,Toyota,Highlander Luxe,2016 - 2019 3 поколение рестайлинг (U5),2017,17590000,KZT,Астана,Акмолинская область,230186.0,Кроссовер,3.5,бензин,Автомат,Полный привод,Слева,черный,,Да,,"Toyota Highlander Luxe 2017 in Астана. Mileage: 230186 km. Engine: 3.5 L, бензин. Transmission: автомат. Price: 17590000 KZT.",,,2026-04-25T17:01:05.746554+00:00,21.0,1,"{""parameters"": {""Город"": ""Астана, Акмолинская область"", ""Поколение"": ""2016 - 2019 3 поколение рестайлинг (U5)"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""3.5 (бензин)"", ""Пробег"": ""230 186 км"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Цвет"": ""черный"", ""Растаможен в Казахстане"": ""Да""}, ""options"": []}",2026-04-25T17:01:05.780457+00:00,2026-04-25T17:01:05.780457+00:00
2,199360151,https://kolesa.kz/a/show/199360151,kolesa.kz,Rox 01 VIP 2026 г.,Rox,01 VIP,2023 - н.в. 1 поколение,2026,30490000,KZT,Алматы,Алматинская область,,Внедорожник,1.5,гибрид,Автомат,Полный привод,Слева,,,Да,,"Rox 01 VIP 2026 in Алматы. Engine: 1.5 L, гибрид. Transmission: автомат. Price: 30490000 KZT.",,,2026-04-25T17:01:18.789961+00:00,19.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Поколение"": ""2023 - н.в. 1 поколение"", ""Кузов"": ""Внедорожник"", ""Объем двигателя, л"": ""1.5 (гибрид)"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Растаможен в Казахстане"": ""Да""}, ""options"": []}",2026-04-25T17:01:18.805296+00:00,2026-04-25T17:01:18.805296+00:00
3,217970641,https://kolesa.kz/a/show/217970641,kolesa.kz,Hyundai Elantra 2020 г.,Hyundai,Elantra,2018 - 2020 6 поколение рестайлинг (AD/ADA),2020,7700000,KZT,Алматы,Алматинская область,183426.0,Седан,2.0,бензин,Автомат,Передний привод,Слева,серый металлик,,Да,,"Hyundai Elantra 2020 in Алматы. Mileage: 183426 km. Engine: 2.0 L, бензин. Transmission: автомат. Price: 7700000 KZT.",Контакты продавца,25 апреля,2026-04-25T17:01:34.246902+00:00,10.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Поколение"": ""2018 - 2020 6 поколение рестайлинг (AD/ADA)"", ""Кузов"": ""Седан"", ""Объем двигателя, л"": ""2 (бензин)"", ""Пробег"": ""183 426 км"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Передний привод"", ""Руль"": ""Слева"", ""Цвет"": ""серый металлик"", ""Растаможен в Казахстане"": ""Да""}, ""options"": [""литые диски"", ""тонировка"", ""ветровики"", ""линзованная оптика"", ""дневные ходовые огни"", ""велюр"", ""аудиосистема"", ""bluetooth"", ""MP3"", ""USB"", ""ГУР"", ""ABS"", ""сигнализация"", ""автозапуск"", ""иммобилайзер"", ""полный электропакет"", ""центрозамок"", ""круиз-контроль"", ""бортовой компьютер"", ""навигационная система"", ""мультируль"", ""камера заднего вида"", ""датчик света"", ""датчик давления в шинах"", ""климат-контроль"", ""налог уплачен"", ""вложений не требует""]}",2026-04-25T17:01:34.278674+00:00,2026-04-25T17:01:34.278674+00:00
4,197433518,https://kolesa.kz/a/show/197433518,kolesa.kz,Kia Sportage 2014 г.,Kia,Sportage,2010 - 2014 3 поколение (SL),2014,7000000,KZT,Петропавловск,Северо-Казахстанская область,114500.0,Кроссовер,2.0,бензин,Механика,Передний привод,Слева,серый,,Да,,"Kia Sportage 2014 in Петропавловск. Mileage: 114500 km. Engine: 2.0 L, бензин. Transmission: механика. Price: 7000000 KZT.",Контакты продавца,25 апреля,2026-04-25T17:01:46.019831+00:00,10.0,1,"{""parameters"": {""Город"": ""Петропавловск, Северо-Казахстанская область"", ""Поколение"": ""2010 - 2014 3 поколение (SL)"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""2 (бензин)"", ""Пробег"": ""114 500 км"", ""Коробка передач"": ""Механика"", ""Привод"": ""Передний привод"", ""Руль"": ""Слева"", ""Цвет"": ""серый"", ""Растаможен в Казахстане"": ""Да""}, ""options"": [""корректор фар"", ""обогрев зеркал"", ""аудиосистема"", ""встроенный телефон"", ""bluetooth"", ""ГУР"", ""ABS"", ""сигнализация"", ""автозапуск"", ""полный электропакет"", ""центрозамок"", ""климат-контроль"", ""подогрев сидений"", ""подогрев задних сидений"", ""вентиляция сидений"", ""камера заднего вида"", ""налог уплачен"", ""техосмотр пройден"", ""вложений не требует""]}",2026-04-25T17:01:46.031653+00:00,2026-04-25T17:01:46.031653+00:00
5,217859726,https://kolesa.kz/a/show/217859726,kolesa.kz,Toyota Land Cruiser Prado 2014 г.,Toyota,Land Cruiser Prado,2013 - 2017 J150 рестайлинг,2014,14999999,KZT,Актобе,Актюбинская область,,Внедорожник,2.7,бензин,Автомат,Полный привод,Слева,,,Да,,"Toyota Land Cruiser Prado 2014 in Актобе. Engine: 2.7 L, бензин. Transmission: автомат. Price: 14999999 KZT.",Контакты продавца,25 апреля,2026-04-25T17:02:02.850828+00:00,25.0,1,"{""parameters"": {""Город"": ""Актобе, Актюбинская область"", ""Поколение"": ""2013 - 2017 J150 рестайлинг"", ""Кузов"": ""Внедорожник"", ""Объем двигателя, л"": ""2.7 (бензин)"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Растаможен в Казахстане"": ""Да""}, ""options"": []}",2026-04-25T17:02:02.869721+00:00,2026-04-25T17:02:02.869721+00:00
6,217720086,https://kolesa.kz/a/show/217720086,kolesa.kz,Lynk & Co 900 2.0T Ultra 2025 г.,Lynk,& Co 900 2.0T Ultra,2025 - н.в. 1 поколение,2025,31500000,KZT,Алматы,Алматинская область,,Кроссовер,2.0,гибрид,Автомат,Полный привод,Слева,,,Да,,"Lynk & Co 900 2.0T Ultra 2025 in Алматы. Engine: 2.0 L, гибрид. Transmission: автомат. Price: 31500000 KZT.",Контакты Future by Electro,,2026-04-25T17:02:13.834034+00:00,9.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Поколение"": ""2025 - н.в. 1 поколение"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""2 (гибрид)"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Растаможен в Казахстане"": ""Да""}, ""options"": []}",2026-04-25T17:02:13.871406+00:00,2026-04-25T17:02:13.871406+00:00
7,217710833,https://kolesa.kz/a/show/217710833,kolesa.kz,BYD Sea Lion 06 2025 г.,BYD,Sea Lion 06,2025 - н.в. 1 поколение,2025,14800000,KZT,Алматы,Алматинская область,10.0,Кроссовер,1.5,гибрид,Вариатор,Передний привод,Слева,серый,,Нет,,"BYD Sea Lion 06 2025 in Алматы. Mileage: 10 km. Engine: 1.5 L, гибрид. Transmission: вариатор. Price: 14800000 KZT.",,,2026-04-25T17:02:27.151661+00:00,8.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Наличие"": ""На заказ"", ""Поколение"": ""2025 - н.в. 1 поколение"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""1.5 (гибрид)"", ""Пробег"": ""10 км"", ""Коробка передач"": ""Вариатор"", ""Привод"": ""Передний привод"", ""Руль"": ""Слева"", ""Цвет"": ""серый"", ""Растаможен в Казахстане"": ""Нет""}, ""options"": [""литые диски"", ""тонировка"", ""панорамная крыша"", ""линзованная оптика"", ""дневные ходовые огни"", ""корректор фар"", ""обогрев зеркал"", ""кожа"", ""bluetooth"", ""ABS"", ""SRS"", ""зимний режим"", ""автозапуск"", ""иммобилайзер"", ""бесключевой доступ"", ""полный электропакет"", ""центрозамок"", ""климат-контроль"", ""круиз-контроль"", ""бортовой компьютер"", ""навигационная система"", ""мультируль"", ""парктроники"", ""камера заднего вида"", ""датчик света"", ""датчик дождя"", ""датчик давления в шинах"", ""свежедоставлен""]}",2026-04-25T17:02:27.165139+00:00,2026-04-25T17:02:27.165139+00:00
8,206467348,https://kolesa.kz/a/show/206467348,kolesa.kz,Toyota Avalon 2020 г.,Toyota,Avalon,2018 - н.в. XX50,2020,21500000,KZT,Астана,Акмолинская область,90000.0,Седан,3.5,бензин,Автомат,Передний привод,Слева,,,Да,,"Toyota Avalon 2020 in Астана. Mileage: 90000 km. Engine: 3.5 L, бензин. Transmission: автомат. Price: 21500000 KZT.",Контакты продавца,25 апреля,2026-04-25T17:02:44.443241+00:00,13.0,1,"{""parameters"": {""Город"": ""Астана, Акмолинская область"", ""Поколение"": ""2018 - н.в. XX50"", ""Кузов"": ""Седан"", ""Объем двигателя, л"": ""3.5 (бензин)"", ""Пробег"": ""90 000 км"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Передний привод"", ""Руль"": ""Слева"", ""Растаможен в Казахстане"": ""Да""}, ""options"": []}",2026-04-25T17:02:44.473632+00:00,2026-04-25T17:02:44.473632+00:00
9,217211549,https://kolesa.kz/a/show/217211549,kolesa.kz,Hyundai Tucson 2020 г.,Hyundai,Tucson,2018 - 2021 3 поколение рестайлинг (TL/TLE),2020,11000000,KZT,Алматы,Алматинская область,112000.0,Кроссовер,2.0,бензин,Автомат,Полный привод,Слева,серый металлик,,Да,,"Hyundai Tucson 2020 in Алматы. Mileage: 112000 km. Engine: 2.0 L, бензин. Transmission: автомат. Price: 11000000 KZT.",Контакты продавца,25 апреля,2026-04-25T17:03:01.040903+00:00,16.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Поколение"": ""2018 - 2021 3 поколение рестайлинг (TL/TLE)"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""2 (бензин)"", ""Пробег"": ""112 000 км"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Цвет"": ""серый металлик"", ""Растаможен в Казахстане"": ""Да""}, ""options"": [""литые диски"", ""тонировка"", ""ксенон"", ""биксенон"", ""хрустальная оптика"", ""кожа"", ""аудиосистема"", ""bluetooth"", ""ГУР"", ""ABS"", ""SRS"", ""зимний режим"", ""спортивный режим"", ""сигнализация"", ""автозапуск"", ""иммобилайзер"", ""бесключевой доступ"", ""полный электропакет"", ""центрозамок"", ""климат-контроль"", ""круиз-контроль"", ""бортовой компьютер"", ""мультируль"", ""подогрев руля"", ""подогрев задних сидений"", ""камера заднего вида"", ""датчик света"", ""датчик дождя"", ""датчик давления в шинах"", ""налог уплачен"", ""техосмотр пройден"", ""вложений не требует""]}",2026-04-25T17:03:01.051574+00:00,2026-04-25T17:03:01.051574+00:00
10,161961211,https://kolesa.kz/a/show/161961211,kolesa.kz,Audi Q5 2012 г.,Audi,Q5,2008 - 2012 1 поколение (8R),2012,7500000,KZT,Алматы,Алматинская область,174000.0,Кроссовер,2.0,бензин,Автомат,Полный привод,Слева,черный металлик,,Да,,"Audi Q5 2012 in Алматы. Mileage: 174000 km. Engine: 2.0 L, бензин. Transmission: автомат. Price: 7500000 KZT.",Контакты продавца,25 апреля,2026-04-25T17:03:14.496044+00:00,5.0,1,"{""parameters"": {""Город"": ""Алматы, Алматинская область"", ""Поколение"": ""2008 - 2012 1 поколение (8R)"", ""Кузов"": ""Кроссовер"", ""Объем двигателя, л"": ""2 (бензин)"", ""Пробег"": ""174 000 км"", ""Коробка передач"": ""Автомат"", ""Привод"": ""Полный привод"", ""Руль"": ""Слева"", ""Цвет"": ""черный металлик"", ""Растаможен в Казахстане"": ""Да""}, ""options"": [""литые диски"", ""тонировка"", ""люк"", ""панорамная крыша"", ""фаркоп"", ""дневные ходовые огни"", ""противотуманки"", ""омыватель фар"", ""корректор фар"", ""обогрев зеркал"", ""кожа"", ""аудиосистема"", ""bluetooth"", ""CD"", ""ГУР"", ""ABS"", ""SRS"", ""турбонаддув"", ""сигнализация"", ""полный электропакет"", ""центрозамок"", ""кондиционер"", ""климат-контроль"", ""круиз-контроль"", ""бортовой компьютер"", ""мультируль"", ""подогрев сидений"", ""подогрев задних сидений"", ""память руля"", ""парктроники"", ""камера заднего вида"", ""датчик света"", ""датчик дождя"", ""налог уплачен"", ""техосмотр пройден"", ""вложений не требует""]}",2026-04-25T17:03:14.506660+00:00,2026-04-25T17:03:14.506660+00:00
