brand,model,year,price,city,mileage_km,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,generation
Toyota,Highlander Luxe,2017,17590000,Астана,230186,Кроссовер,3.5,бензин,Автомат,Полный привод,Слева,черный,,2016 - 2019 3 поколение рестайлинг (U5)
Rox,01 VIP,2026,30490000,Алматы,,Внедорожник,1.5,гибрид,Автомат,Полный привод,Слева,,,2023 - н.в. 1 поколение
Hyundai,Elantra,2020,7700000,Алматы,183426,Седан,2.0,бензин,Автомат,Передний привод,Слева,серый металлик,,2018 - 2020 6 поколение рестайлинг (AD/ADA)
Kia,Sportage,2014,7000000,Петропавловск,114500,Кроссовер,2.0,бензин,Механика,Передний привод,Слева,серый,,2010 - 2014 3 поколение (SL)
Toyota,Land Cruiser Prado,2014,14999999,Актобе,,Внедорожник,2.7,бензин,Автомат,Полный привод,Слева,,,2013 - 2017 J150 рестайлинг
Lynk,& Co 900 2.0T Ultra,2025,31500000,Алматы,,Кроссовер,2.0,гибрид,Автомат,Полный привод,Слева,,,2025 - н.в. 1 поколение
BYD,Sea Lion 06,2025,14800000,Алматы,10,Кроссовер,1.5,гибрид,Вариатор,Передний привод,Слева,серый,,2025 - н.в. 1 поколение
Toyota,Avalon,2020,21500000,Астана,90000,Седан,3.5,бензин,Автомат,Передний привод,Слева,,,2018 - н.в. XX50
Hyundai,Tucson,2020,11000000,Алматы,112000,Кроссовер,2.0,бензин,Автомат,Полный привод,Слева,серый металлик,,2018 - 2021 3 поколение рестайлинг (TL/TLE)
Audi,Q5,2012,7500000,Алматы,174000,Кроссовер,2.0,бензин,Автомат,Полный привод,Слева,черный металлик,,2008 - 2012 1 поколение (8R)
Toyota,RAV4,2022,17999999,Астана,75000,Кроссовер,2.5,гибрид,Вариатор,Полный привод,Слева,белый,,2019 - н.в. 5 поколение (A5/H5)
Lexus,LX 570,2010,22000000,Шымкент,,Внедорожник,5.7,бензин,Автомат,Полный привод,Слева,,,2007 - 2012 3 поколение (J2)
Toyota,Camry,2012,8800000,Алматы,186000,Седан,2.5,гибрид,Вариатор,Передний привод,Слева,,,2011 - 2014 XV50
Toyota,Camry,2009,8200000,Шымкент,197000,Седан,3.5,бензин,Автомат,Передний привод,Слева,,,2009 - 2011 XV40 рестайлинг (V45)
Renault,Scenic,2001,1550000,Шымкент,200000,Минивэн,1.6,бензин,Автомат,Передний привод,Слева,серый,,1999 - 2003 1 поколение рестайлинг (FA0/A0/1)
Changan,X5 Plus,2025,7900000,Алматы,,Кроссовер,1.5,бензин,Робот,Передний привод,Слева,белый металлик,,2024 - н.в. 1 поколение
Toyota,Camry,2016,5300000,Актау,174444,Седан,2.5,бензин,Автомат,Передний привод,Слева,коричневый металлик,,2014 - 2018 XV50 рестайлинг (V55)
Kia,Cerato,2011,4300000,Алматы,255714,Седан,1.6,бензин,Автомат,Передний привод,Слева,,,2008 - 2013 2 поколение
Changan,Eado,2025,7200000,Алматы,,Седан,1.5,бензин,Автомат,Передний привод,Слева,белый,,2018 - 2023 2 поколение
Land,Rover Range Rover,2010,10999999,Алматы,368671,Внедорожник,3.6,дизель,Автомат,Полный привод,Слева,,,2009 - 2012 3 поколение [2-й рестайлинг] (L322)
Mercedes-Benz,C 180,1995,830000,Уральск,465000,Седан,1.8,бензин,Механика,Задний привод,Слева,синий,,1993 - 1997 W202/S202
Lexus,RX 300,2000,4300000,Атырау,,Кроссовер,3.0,бензин,Автомат,Полный привод,Слева,бежевый металлик,,1997 - 2003 1 поколение (MCU15)
Genesis,GV80 2.5T,2025,44417022,Алматы,,Кроссовер,2.5,бензин,Автомат,Полный привод,Слева,серебристый,,2020 - н.в. 1 поколение
Toyota,Camry,2006,5500000,Астана,270000,Седан,2.4,бензин,Автомат,Передний привод,Слева,черный,,2006 - 2009 XV40
ВАЗ,(Lada) Priora 2170,2014,4000000,Усть-Каменогорск,233000,Седан,1.6,бензин,Механика,Передний привод,Слева,черный,,2013 - 2018 1 поколение рестайлинг
Ravon,R4,2019,4900000,Шымкент,114000,Седан,1.5,бензин,Автомат,Передний привод,Слева,белый,,2016 - н.в. 1 поколение
Toyota,Cresta,1996,3000000,Алматы,500000,Седан,2.5,бензин,Автомат,Задний привод,Справа,белый,,1996 - 1998 X100
Mini,Countryman,2015,8500000,Астана,160213,Кроссовер,1.6,бензин,Автомат,Передний привод,Слева,синий металлик,,2010 - 2016 R60
