brand,model,count,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Toyota,Camry,320,9506854.740625,1100000,25200000,1992,2025,180092.2619047619
Toyota,Land Cruiser Prado,73,17135479.438356165,4000000,41500000,1993,2025,201329.08333333334
Hyundai,Sonata,67,9428009.776119404,1900000,18000000,2004,2025,118412.10769230769
Hyundai,Tucson,67,11678298.432835821,500000,17000000,2004,2025,75814.86885245901
Hyundai,Accent,64,5673437.484375,450000,9500000,2008,2022,162369.9818181818
Hyundai,Elantra,62,7740645.161290322,1690000,10500000,2003,2025,101422.59649122808
Hyundai,Grandeur,57,9303473.684210526,4398000,22500000,2007,2022,159974.66666666666
Toyota,Land Cruiser,57,25167836.210526317,7200000,64000000,1998,2025,205648.60869565216
BMW,X5,54,18866257.185185187,1600000,60000000,2000,2024,162117.61363636365
Chevrolet,Cobalt,51,5455294.117647059,4000000,6790000,2020,2026,68954.02380952382
Toyota,RAV4,48,10073240.708333334,2470000,22000000,1995,2025,160473.44444444444
Volkswagen,Passat,48,1890416.6458333333,600000,4950000,1988,2011,276239.7586206897
ГАЗ,ГАЗель,48,6262083.333333333,1500000,13400000,1996,2024,203353.0294117647
ВАЗ,(Lada) Priora 2170,45,2566553.0444444446,666000,4550000,2007,2017,231793.8148148148
Hyundai,Santa Fe,43,13303255.767441861,1500000,27500000,2001,2025,108318.56410256411
ВАЗ,(Lada) Granta 2190,43,2846511.6279069767,1040000,5900000,2012,2025,166334.86842105264
Kia,K5,39,9853053.58974359,3000000,14869090,2010,2025,102291.64864864865
Toyota,Corolla,39,6818461.538461538,1300000,14400000,1998,2025,140974.64516129033
Kia,Sportage,38,10923947.368421054,3350000,19000000,2005,2026,103274.79411764706
Volkswagen,Golf,35,1760431.0285714285,125086,7950000,1991,2014,237982.85714285713
Kia,Rio,34,5735294.117647059,3300000,8200000,2012,2022,146737.39393939395
Subaru,Outback,33,7440909.090909091,3200000,19200000,2000,2024,191761.1851851852
Kia,Sorento,32,15319062.5,5900000,23500000,2006,2025,87929.7
Toyota,Highlander,32,18759375.0,6300000,39000000,2001,2025,156541.79166666666
Volkswagen,Polo,30,5399703.566666666,3100000,7890000,2011,2021,149566.42857142858
Audi,A6,29,4343869.724137931,1000000,20000000,1994,2017,298553.1
Audi,100,28,1740714.2857142857,750000,3000000,1986,1994,318683.85714285716
Kia,K7,28,9308928.57142857,4650000,15500000,2012,2021,187279.73913043478
Daewoo,Nexia,27,1564407.4074074074,300000,2500000,2004,2014,243139.26315789475
Subaru,Forester,27,9149259.25925926,1750000,24900000,1997,2026,138703.875
ВАЗ,(Lada) 2114,27,1508346.4444444445,600000,2650000,2005,2013,249927.47368421053
Toyota,Alphard,25,8685999.92,3500000,33000000,2003,2016,231588.66666666666
Changan,CS55 Plus,24,9456962.958333334,7800000,11000000,2023,2026,18456.222222222223
Lexus,LX 570,24,30547500.0,14990000,88000000,2008,2025,189673.47619047618
Deepal,S07,23,12813913.043478262,11100000,15000000,2024,2026,3683.714285714286
Kia,Cerato,23,6716521.739130435,2500000,12500000,2007,2023,145039.1052631579
Lexus,RX 350,23,15952608.695652174,6790000,39000000,2006,2025,161107.47826086957
ВАЗ,(Lada) Priora 2172,23,2043450.652173913,1100000,3200000,2008,2015,211825.64285714287
Mercedes-Benz,E 320,22,4596363.590909091,800000,8000000,1992,2004,306844.6153846154
Mitsubishi,Pajero,21,5480952.380952381,2000000,12100000,1991,2013,262799.0909090909
Toyota,Sienna,20,12577499.95,3500000,21500000,1997,2021,199652.16666666666
Chevrolet,Nexia,19,4508947.368421053,3200000,5600000,2020,2023,102557.0
