listing_id,url,brand,model,year,price,city,mileage_km,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,description,generated_description
217199374,https://kolesa.kz/a/show/217199374,Toyota,Camry,2023,15500000,Алматы,55000,Седан,2.5,petrol,automatic,Передний привод,Слева,,,,"Toyota Camry 2023 in Алматы. Mileage: 55000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15500000 KZT."
215359249,https://kolesa.kz/a/show/215359249,Toyota,Camry,2023,15900000,Алматы,35000,Седан,2.5,petrol,automatic,Полный привод,Слева,серый,,,"Toyota Camry 2023 in Алматы. Mileage: 35000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15900000 KZT."
218273386,https://kolesa.kz/a/show/218273386,Toyota,Camry,2023,14000000,Алматы,81000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 81000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 14000000 KZT."
218074008,https://kolesa.kz/a/show/218074008,Toyota,Camry Prestige,2023,15000000,Алматы,52741,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 52741 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15000000 KZT."
210898823,https://kolesa.kz/a/show/210898823,Toyota,Camry Luxe,2023,17400000,Алматы,65729,Седан,2.5,petrol,automatic,Передний привод,Слева,черный,,,"Toyota Camry Luxe 2023 in Алматы. Mileage: 65729 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 17400000 KZT."
210816801,https://kolesa.kz/a/show/210816801,Toyota,Camry Prestige,2023,15900000,Алматы,44165,Седан,2.5,petrol,automatic,Передний привод,Слева,серебристый,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 44165 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15900000 KZT."
211271587,https://kolesa.kz/a/show/211271587,Toyota,Camry Luxe,2023,18900000,Алматы,33319,Седан,2.5,petrol,automatic,Передний привод,Слева,серый,,,"Toyota Camry Luxe 2023 in Алматы. Mileage: 33319 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18900000 KZT."
217969725,https://kolesa.kz/a/show/217969725,Toyota,Camry Luxe,2023,18500000,Алматы,22012,Седан,2.5,petrol,automatic,Передний привод,Слева,серый,,,"Toyota Camry Luxe 2023 in Алматы. Mileage: 22012 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18500000 KZT."
218044270,https://kolesa.kz/a/show/218044270,Toyota,Camry Prestige,2023,15200000,Алматы,73563,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 73563 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15200000 KZT."
210817271,https://kolesa.kz/a/show/210817271,Toyota,Camry Luxe,2023,17800000,Алматы,75320,Седан,2.5,petrol,automatic,Передний привод,Слева,серый,,,"Toyota Camry Luxe 2023 in Алматы. Mileage: 75320 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 17800000 KZT."
217958320,https://kolesa.kz/a/show/217958320,Toyota,Camry,2023,17900000,Алматы,64000,Седан,2.5,petrol,automatic,Передний привод,Слева,черный металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 64000 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 17900000 KZT."
215576638,https://kolesa.kz/a/show/215576638,Toyota,Camry,2023,15050000,Алматы,49900,Седан,2.5,petrol,automatic,Передний привод,Слева,белый металлик,,,"Toyota Camry 2023 in Алматы. Mileage: 49900 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15050000 KZT."
217846251,https://kolesa.kz/a/show/217846251,Toyota,Camry Prestige,2023,15200000,Алматы,75101,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry Prestige 2023 in Алматы. Mileage: 75101 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 15200000 KZT."
217956024,https://kolesa.kz/a/show/217956024,Toyota,Camry Luxe,2023,18000000,Алматы,61209,Седан,2.5,petrol,automatic,Передний привод,Слева,белый,,,"Toyota Camry Luxe 2023 in Алматы. Mileage: 61209 km. Engine: 2.5 L, petrol. Transmission: automatic. Price: 18000000 KZT."
