brand,model,target_limit,current_count,remaining,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Toyota,Camry,1200,539,661,9963617.63,1100000,26190000,1992,2026,174866.62
Toyota,Corolla,1000,81,919,6970740.74,1300000,14400000,1995,2026,151110.53
Toyota,RAV4,1000,104,896,11874563.01,2000000,25990000,1995,2026,148162.18
Toyota,Prado,900,142,758,19580697.81,4000000,51890000,1993,2025,193506.41
Hyundai,Tucson,1000,134,866,11798254.52,500000,17390000,2004,2026,73668.05
Hyundai,Elantra,900,110,790,7934181.82,1690000,12000000,2003,2025,102214.86
Hyundai,Sonata,1000,107,893,9565856.59,1900000,18000000,2002,2025,113369.11
Kia,Sportage,1000,75,925,10845319.99,1000000,19000000,1994,2026,102136.12
Kia,K5,1000,74,926,10437435.15,3000000,15990000,2010,2026,101747.51
Kia,Rio,900,68,832,5745107.31,1350000,8500000,2005,2022,146326.34
Lexus,RX,1000,120,880,19590431.67,3500000,56790000,1998,2026,162545.95
Lexus,ES,800,58,742,14178155.16,1500000,32390000,1995,2025,152877.49
Lexus,LX,700,62,638,41432258.05,5200000,102500000,1999,2026,179998.0
BMW,X5,1000,112,888,25320163.01,1600000,87889724,2000,2025,140616.52
Toyota,Land Cruiser 150,700,0,700,,,,,,
BMW,5-Series,900,136,764,11396397.06,800000,45000000,1990,2025,183843.53
BMW,3-Series,700,33,667,6245757.58,1200000,16900000,1985,2021,176050.05
