2026-04-25 22:00:46,331 | INFO | kolesa_parser | started mode collect
2026-04-25 22:00:52,764 | INFO | kolesa_parser | current page 1: https://kolesa.kz/cars/
2026-04-25 22:00:54,717 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/213097689
2026-04-25 22:01:05,789 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/213097689
2026-04-25 22:01:10,792 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/199360151
2026-04-25 22:01:18,810 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/199360151
2026-04-25 22:01:22,221 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217970641
2026-04-25 22:01:34,287 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217970641
2026-04-25 22:01:37,613 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/197433518
2026-04-25 22:01:46,035 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/197433518
2026-04-25 22:01:51,834 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217859726
2026-04-25 22:02:02,876 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217859726
2026-04-25 22:02:07,009 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217720086
2026-04-25 22:02:13,883 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217720086
2026-04-25 22:02:18,302 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217710833
2026-04-25 22:02:27,169 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217710833
2026-04-25 22:02:34,926 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/206467348
2026-04-25 22:02:44,481 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/206467348
2026-04-25 22:02:52,477 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217211549
2026-04-25 22:03:01,055 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217211549
2026-04-25 22:03:05,781 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/161961211
2026-04-25 22:03:14,510 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/161961211
2026-04-25 22:03:19,617 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217647514
2026-04-25 22:03:26,989 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217647514
2026-04-25 22:03:34,711 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217642783
2026-04-25 22:03:41,902 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217642783
2026-04-25 22:03:49,954 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217630003
2026-04-25 22:03:57,091 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217630003
2026-04-25 22:04:03,165 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217628609
2026-04-25 22:04:11,987 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217628609
2026-04-25 22:04:17,489 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217623187
2026-04-25 22:04:27,794 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217623187
2026-04-25 22:04:32,171 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/215715123
2026-04-25 22:04:41,096 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/215715123
2026-04-25 22:04:45,394 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/215725652
2026-04-25 22:04:52,696 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/215725652
2026-04-25 22:04:59,675 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217604660
2026-04-25 22:05:06,749 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217604660
2026-04-25 22:05:11,018 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/202026392
2026-04-25 22:05:18,507 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/202026392
2026-04-25 22:05:22,382 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/198689675
2026-04-25 22:05:29,589 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/198689675
2026-04-25 22:06:30,078 | INFO | kolesa_parser | started mode report
2026-04-25 22:06:41,629 | INFO | kolesa_parser | started mode export
2026-04-25 22:22:44,077 | INFO | kolesa_parser | started mode collect
2026-04-25 22:22:45,944 | INFO | kolesa_parser | current page 1: https://kolesa.kz/cars/
2026-04-25 22:22:47,278 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/213865210
2026-04-25 22:22:55,776 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/213865210
2026-04-25 22:23:02,359 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/216333200
2026-04-25 22:23:09,536 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/216333200
2026-04-25 22:23:14,027 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/202822312
2026-04-25 22:23:21,931 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/202822312
2026-04-25 22:23:27,798 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/218211207
2026-04-25 22:23:35,543 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/218211207
2026-04-25 22:23:42,740 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217264426
2026-04-25 22:23:50,085 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217264426
2026-04-25 22:23:53,511 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/218007216
2026-04-25 22:24:01,533 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/218007216
2026-04-25 22:24:05,937 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/215990325
2026-04-25 22:24:14,131 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/215990325
2026-04-25 22:24:21,005 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/214374976
2026-04-25 22:24:28,256 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/214374976
2026-04-25 22:24:31,702 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217530017
2026-04-25 22:24:38,446 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217530017
2026-04-25 22:24:46,492 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/202642038
2026-04-25 22:24:53,349 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/202642038
2026-04-25 22:24:59,518 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/218208746
2026-04-25 22:25:06,345 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/218208746
2026-04-25 22:25:10,291 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/215921929
